nohup: ignoring input
[run] ours-r2-opp-l08 -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r2_opp_l08_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.8)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step   3750 | loss 0.6583 | mse 0.0006 | kl 24.435935 | act 0.4592 | zero 0.0057 | opp 0.1591 (margin 0.056, anchors 4.2) | lr 1.58e-06
step   3800 | loss 1.1114 | mse 0.0007 | kl 29.749442 | act 0.9090 | zero 0.0028 | opp 0.1441 (margin -0.011, anchors 3.8) | lr 1.46e-06
step   3850 | loss 0.8024 | mse 0.0006 | kl 27.579472 | act 0.6090 | zero 0.0035 | opp 0.1409 (margin -0.024, anchors 3.7) | lr 1.35e-06
step   3900 | loss 0.7981 | mse 0.0007 | kl 23.843065 | act 0.6108 | zero 0.0040 | opp 0.1467 (margin 0.033, anchors 4.0) | lr 1.24e-06
step   3950 | loss 0.7892 | mse 0.0007 | kl 21.844902 | act 0.5803 | zero 0.0066 | opp 0.1807 (margin 0.007, anchors 4.1) | lr 1.13e-06
step   4000 | loss 0.9572 | mse 0.0006 | kl 26.328075 | act 0.7720 | zero 0.0055 | opp 0.1350 (margin 0.025, anchors 3.6) | lr 1.03e-06
[val] step   4000 | loss 0.1055 | mse 0.0006 | psnr 32.40 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_ours_r2_opp_l08_5k/step_0004000
step   4050 | loss 0.9631 | mse 0.0007 | kl 27.777157 | act 0.7648 | zero 0.0046 | opp 0.1460 (margin 0.001, anchors 4.3) | lr 9.36e-07
step   4100 | loss 1.2293 | mse 0.0006 | kl 21.952747 | act 1.0275 | zero 0.0044 | opp 0.1719 (margin -0.007, anchors 3.9) | lr 8.43e-07
step   4150 | loss 0.9048 | mse 0.0006 | kl 21.848393 | act 0.6992 | zero 0.0058 | opp 0.1768 (margin -0.011, anchors 4.0) | lr 7.54e-07
step   4200 | loss 1.1450 | mse 0.0007 | kl 29.159319 | act 0.9369 | zero 0.0029 | opp 0.1535 (margin 0.035, anchors 4.7) | lr 6.70e-07
step   4250 | loss 0.6687 | mse 0.0006 | kl 21.864011 | act 0.4892 | zero 0.0029 | opp 0.1443 (margin 0.031, anchors 4.4) | lr 5.90e-07
step   4300 | loss 1.2352 | mse 0.0008 | kl 27.325562 | act 1.0003 | zero 0.0035 | opp 0.1936 (margin -0.017, anchors 4.3) | lr 5.16e-07
step   4350 | loss 0.7692 | mse 0.0007 | kl 25.189177 | act 0.5621 | zero 0.0022 | opp 0.1669 (margin -0.020, anchors 4.4) | lr 4.46e-07
step   4400 | loss 0.9089 | mse 0.0007 | kl 26.621809 | act 0.6992 | zero 0.0029 | opp 0.1651 (margin -0.021, anchors 4.4) | lr 3.81e-07
step   4450 | loss 0.8861 | mse 0.0006 | kl 23.548974 | act 0.6881 | zero 0.0017 | opp 0.1614 (margin 0.030, anchors 3.9) | lr 3.20e-07
